City,latitude,longitude,name,desc
Vancouver,49.263566,-123.138572,Vancouver,"Vancouver, BC, CA"
Fuqing,25.72323,119.374055,Fuqing,"Fuqing City, CN"
Jakarta,-6.181015,106.828335,Jakarta,"Jakarta, ID"
Koper,45.547955,13.730491,Koper,"Capodistria, SI"
Aqaba,29.975096,35.20559,Aqaba,"AQABA, JO"
Buenaventura,40.176602,-4.849876,Buenaventura,"Buenaventura, Toledo, CASTILE-LA MANCHA, ES"
Beirut,33.89592,35.47843,Beirut,"Beirut, LB"
Damietta,31.416743,31.821366,Damietta,"Dumiat, EG"
Melbourne,-37.814255,144.963146,Melbourne,"Melbourne, VIC, AU"
Baltimore,39.290443,-76.612333,Baltimore,"Baltimore, Baltimore City, MD, US"
Port Louis,-20.163728,57.504533,Port Louis,"Port Louis, MU"
Lazaro Cardenas,17.959774,-102.198535,Lazaro Cardenas,"Lázaro Cárdenas, MIC, MX"
Rijeka,45.327112,14.441356,Rijeka,"Rijeka, HR"
Trieste,45.650034,13.770656,Trieste,"Triest, Trieste, FRIULI-VENEZIA GIULIA, IT"
San Antonio,29.425173,-98.494599,San Antonio,"San Antonio, Bexar County, TX, US"
Kingston,44.230468,-76.481187,Kingston,"Kingston, ON, CA"
Las Palmas,28.12878,-15.435051,Las Palmas,"Las Palmas de Gran Canaria, ISLAS CANARIAS, ES"
Colon,9.356085,-79.896343,Colon,"Colon, PA"
Umm Qasr,30.047003,47.933896,Umm Qasr,"Umm Qasr, IQ"
El Sokhna,29.90941,31.67845,El Sokhna,"El Sokhna Road, New Cairo, Cairo, EG"
Balboa,42.706253,-6.922865,Balboa,"Balboa, Leon, CASTILE AND LEÓN, ES"
Paranagua,-25.523848,-48.518019,Paranagua,"Paranaguá, PR, BR"
Montevideo,-34.905904,-56.191357,Montevideo,"Montevideo, MONTEVIDEO, UY"
Bandar Abbas,27.178121,56.276645,Bandar Abbas,"Bandar Abbas, HORMOZGAN, IR"
Brisbane,-27.468968,153.023499,Brisbane,"Brisbane, QLD, AU"
Djibouti,11.9159,42.419399,Djibouti,DJ
Sydney,-33.854816,151.216454,Sydney,"Sydney, NSW, AU"
Manila,14.590607,120.979901,Manila,"Manila, PH"
